train_index,text,label,is_spam
1408,"Subject: re : hilcorp old ocean volume
well - i have officially not heard from hilcorp after numerous voice and email
messages . please plan to have the gas rerouted back down the valley line for
the dec 1 forward . call if you have any questions -
daren j farmer
11 / 21 / 2000 10 : 08 am
to : mary jo johnson / hou / ect @ ect
cc :
subject : re : hilcorp old ocean volume
thanks for the info . i appreciated the call the other day . it really helps
me out to recieve info early like that .
d
from : mary jo johnson 11 / 20 / 2000 03 : 38 pm
to : daren j farmer / hou / ect @ ect , james mckay / hou / ect @ ect , gary a
hanks / hou / ect @ ect
cc : jill t zivley / hou / ect @ ect
subject : hilcorp old ocean volume
according to gary hanks , we would like to have the gas on the valley line
anyway
- - - - - - - - - - - - - - - - - - - - - - forwarded by mary jo johnson / hou / ect on 11 / 20 / 2000
03 : 26 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
to : jill t zivley / hou / ect @ ect
cc : edward d gottlob / hou / ect @ ect , lauri a allen / hou / ect @ ect
subject : re : producer service group ?
i can not believe you are sending emails form hawaii ! ! ! ! you are crazy . i
took care of camden for the month -
it is now 330 and hilcorp has not responded . i spoke with jerry bubert
several times today - emailed mike lannou and left messages , and had him
paged , and copied hildebrand ( the president ) . if we don ' t hear by 4 pm , we
are supposed to bypass the gas . . . . . . . . . . .",0,1
10521,"Subject: on call notes
please see attached .
mary",1,1
7779,"suggests puns about ingredients and soup and somebody being off their noodle , but let's just say the ingredients don't quite add up to a meal .",0,0
5489,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .,0,0
4649,"Subject: over $ 50 - - you made it happen !
on wall street , people are talking about enron . at enron , we ' re talking
about people . . . our people . you are the driving force behind every success
that our company has experienced , including our high - performing stock price ,
which surpassed the $ 50 mark only a few days ago . you made it happen !
to show our appreciation for your hard work and commitment to enron  , s
continued success , eligible regular full - time and regular part - time employees
who were on the payroll of a wholly - owned enron company at dec . 31 , 1999 will
receive 50 enron stock options . a special stock option award certificate and
a copy of the stock plan will be sent to you in the next few weeks .
about the stock options grant :
the grant was effective jan . 18 , 2000 , therefore , the option grant price is
$ 55 . 50 .
options will have a seven - year term , which means you must exercise these
options before seven years have passed .
options will vest 25 percent on feb . 28 , 2000 and 25 percent each subsequent
january 18 th thereafter until fully vested , as long as you are an employee of
enron . this means you may exercise 25 percent of these options as early as
feb . 28 .
this grant is made in accordance with the terms and provisions of the enron
corp . stock plans and the award documents , which you will receive in the
coming weeks .
due to varying international restrictions and legalities , enron employees in
certain international locations will receive some other form of recognition .
your local management and human resources representative will communicate
further details .
visit home . enron . com for additional information . there you can access a list
of frequently asked questions regarding stock options . and you can view a
special message from ken lay . to access the special message , you must have
ip - tv and a sound card . if you are not able to view ken  , s message , a
transcript is available . if you encounter any technical difficulties , please
contact your pc help desk .
to help celebrate this occasion plaza java located in the enron building will
offer 50 - cent coffee of the day and 50 - cent krispy kreme donuts today only ,
while quantities last .
again , thank you for all you do to make enron a successful global energy and
broadband services company and a great place to work .",1,1
4328,"only a few minutes elapse before the daddy of all slashers arrives , still with the boiler suit and white mask , which look remarkably clean for a guy who has been mass-murdering since 1978 but has never been seen doing laundry .",0,0
5168,"it's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that .",0,0
6560,"kenneth branagh's energetic sweet-and-sour performance as a curmudgeonly british playwright grounds this overstuffed , erratic dramedy in which he and his improbably forbearing wife contend with craziness and child-rearing in los angeles .",0,0
764,the actors are fantastic . they are what makes it worth the trip to the theatre .,1,0
1453,"by the time the surprise ending is revealed , interest cannot be revived .",0,0
9493,"Subject: hpl nom for june 3 , 2000
( see attached file : hplo 603 . xls )
- hplo 603 . xls",0,1
1421,a piquant meditation on the things that prevent people from reaching happiness .,1,0
1747,tsai ming-liang has taken his trademark style and refined it to a crystalline point .,1,0
4065,an unclassifiably awful study in self- and audience-abuse .,0,0
6464,"many shallower movies these days seem too long , but this one is egregiously short .",0,0
10023,"Subject: re : fw : feb - 01 invoice
daren - did we have a purchase from beaumont methonal on 2 / 9 ? i show a deal of 5 . 000 on deal 611178 . i confirmed a total of 13 . 000 ( deal 603107 ) for that day . were we buying back 5 . 000 or was the deal reduced to 13000 ?
aimee
from : tess ray / enron @ enronxgate on 03 / 19 / 2001 08 : 51 am
to : aimee lannou / hou / ect @ ect
cc : buddy majorwitz / hou / ect @ ect
subject : re : fw : feb - 01 invoice
ok thanks ! will be there shortly . also , joanie received a call from beaumont stating that there is a sale to hpl on 2 / 9 for 5 , 000 mmbtu . this was reflected on the supply draft and buddy majorrwitz looked into this before he / we released invoice and said that there were no sales to hpl from beaumont . do you have any support or documentation re : any / all 02 / 01 prod . sales to hpl ? if so , can i also get a copy of that support to fax to customer ?
- - - - - original message - - - - -
from : lannou , aimee
sent : monday , march 19 , 2001 8 : 45 am
to : ray , tess
subject : re : fw : feb - 01 invoice
my location is 3507 f .
from : tess ray / enron @ enronxgate on 03 / 19 / 2001 07 : 48 am
to : aimee lannou / hou / ect @ ect
cc : buddy majorwitz / hou / ect @ ect , joanie h ngo / hou / ect @ ect
subject : re : fw : feb - 01 invoice
ok , thanks ! can i get a copy of your support so that i can fax to customer this a . m . ? please let me know your location .
thanks ,
tess
- - - - - original message - - - - -
from : lannou , aimee
sent : friday , march 16 , 2001 4 : 10 pm
to : ray , tess
subject : re : fw : feb - 01 invoice
i still handle meter 1428 . i checked my notes for 2 / 13 . there was an intraday change from 18 . 000 to 0 . when it was changed to 0 , the meter had already flowed 3 . 811 . it is a valid volume . if you have anymore questions , please let me know .
aimee
from : tess ray / enron @ enronxgate on 03 / 16 / 2001 03 : 53 pm
to : aimee lannou / hou / ect @ ect
cc : buddy majorwitz / hou / ect @ ect , joanie h ngo / hou / ect @ ect
subject : fw : feb - 01 invoice
aimee -
per conversation with rosa brown and thu ( in volumes management , beaumont methanol is a swing deal , by which the gas sales allocations are handled by the scheduletr . thu indicated that you were the scheduler for meter # 981428 .
do you still handle the sales allocations for hpl meter # 981428 ? if so , can you confirm 02 - 01 sales ( on hpl , meter # 981428 . , sales deal # 603107 ) , to beaumont methanol ( which we ' ve invoiced them ) , vs . chyral hankins ' e - mial to buddy majorwitz below ? the only date that is really in question is sales for flow date 02 - 13 - 01 ( she reflects noms of 0 vs . the 3 , 811 mmbtu that we invoiced them ) .
thanks ,
tess ray
- - - - - original message - - - - -
from : ngo , joanie
sent : friday , march 16 , 2001 3 : 21 pm
to : ray , tess
subject : feb - 01 invoice
tess , can you follow up on this and let me know if you have any questions . thank you !
- - - - - - - - - - - - - - - - - - - - - - forwarded by joanie h ngo / hou / ect on 03 / 16 / 2001 03 : 10 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
? ? z 5 ? ? j / ? 3 oi ? yr ? ? < m 8 . ? _ _ : / ? s ? : ? ?",0,1
4264,"Subject: re : valero rfp issued june 1 , 2001
daren ,
thank you for the proposal , i look forward to discussing this further with
you over the next week .
dave
"" farmer , daren
j . "" to :
subject : valero rfp issued june 1 , 2001
06 / 29 / 2001 04 : 29
pm
david ,
in response to the rfp you issued on june 1 , 2000 for electric power and
natural gas supplies , enron would like to present the following offers
for your gas supply in texas :
for deliveries to the corpus plant :
10 , 000 mmbtu per day , priced at inside ferc houston ship channel
less $ . 04 for a term of one year .
or
10 , 000 mmbtu per day , priced at inside ferc houston ship channel
less $ . 035 for a term of two years .
for deliveries to the houston plant :
10 , 000 mmbtu per day , priced at inside ferc houston ship channel
less $ . 005 for a term of one year .
or
10 , 000 mmbtu per day , priced at inside ferc houston ship channel
flat for a term of two years .
for deliveries to the clear lake plant :
10 , 000 mmbtu per day , priced at inside ferc houston ship channel
less $ . 005 for a term of one year .
or
10 , 000 mmbtu per day , priced at inside ferc houston ship channel
flat for a term of two years .
under this offer , enron reserves the right to serve the plants from any
of the pipelines listed under appendix d : table 2 of your rfp ( hpl ,
epgtt , kinder morgan ) . i appreciate your review of this offer . please
contact me at 713 - 853 - 6905 with any questions or comments .
thank you
daren farmer
enron north america
ph : 713 - 853 - 6905
fax : 713 - 646 - 2391
e - mail : dfarmer @ enron . com",1,1
10347,"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot .",0,0
5932,new ways of describing badness need to be invented to describe exactly how bad it is .,0,0
10401,"Subject: timeline calendars
per the management offsite meeting , please provide me with your monthly
calendars showing your vital business days , close , bid - week , etc . if
necessary to capture all those days please provide me with the months of
january and february .
please work with your assistants to get this accomplished before next monday .
for those of you without , please give me a call and we can set a time to sit
down and i will handle your calendars .
thank you !
yvette
x 3 . 5953",0,1
2984,the film is predictable in the reassuring manner of a beautifully sung holiday carol .,1,0
10618,"Subject: your membership on woodtips has been put on hold
this email message is to notify you that your membership to woodtips
has been put on "" hold "" .
this means that you will not receive mail from ' woodtips ' .
your subscription has been held because at least 1 recent messages have been
either bounced by your email system , or could not be delivered at all .
your membership can be restored to "" normal "" , by sending the command "" unhold ""
to lyris @ listserv . augusthome . com
note that if your email address continues to reject mail your subscription
will
once again be "" held "" .
you may want to contact the people responsible for your electronic mail to
determine
why your email address has been having trouble .
- - - for your information , a non - delivery report is included below :
- - -
message body :
return - path :
received : from listserv . augusthome . com ( [ 127 . 0 . 0 . 1 ] ) by localhost with smtp
( lyris server version 3 . 43 - apr 6 1999 10 : 07 : 17 ) ; sat , 25 mar 2000 02 : 23 : 54
- 0600
received : from mailman . enron . com ( mailman . enron . com [ 192 . 152 . 140 . 66 ] )
by listserv . augusthome . com ( 8 . 9 . 3 / 8 . 9 . 3 ) with esmtp id caa 29035
for ; sat , 25 mar 2000
02 : 23 : 53 - 0600
received : from dservl . ect . enron . com ( dservl . ect . enron . com [ 172 . 16 . 1 . 37 ] )
by mailman . enron . com ( 8 . 8 . 8 / 8 . 8 . 8 / corp - 1 . 03 ) with esmtp id haa 25648
for ; sat , 25 mar 2000
07 : 33 : 10 gmt
received : from notes . ect . enron . com ( notes . ect . enron . com [ 172 . 16 . 4 . 33 ] )
by dservl . ect . enron . com ( 8 . 8 . 8 / 8 . 8 . 8 ) with smtp id baa 23447
for ; sat , 25 mar 2000
01 : 33 : 52 - 0600 ( cst )
received : by notes . ect . enron . com ( lotus smtp mta v 4 . 6 . 5 ( 863 . 2 5 - 20 - 1999 ) )
id 862568 ad . 00298 c 81 ; sat , 25 mar 2000 01 : 33 : 49 - 0600
x - lotus - fromdomain : ect
from : "" ect notes admin ""
reply - to : daren . j . farmer @ enron . com
to : bounce - woodtips - 30771 @ listserv . augusthome . com
message - id :
date : sat , 25 mar 2000 01 : 02 : 42 - 0600
subject : we are one @ enron . com !
mime - version : 1 . 0
content - type : text / plain ; charset = us - ascii
content - disposition : inline
this message is an automated response to the email you recently sent to me . i
received the message but the email address you used has been changed to
daren . j . farmer @ enron . com .
please update your address book ( s ) to reflect this change .
this will ensure that i receive your emails in the future .
thank you
daren j farmer
please do not reply to this message as it was automatically generated .",0,1
10681,"Subject: your mom
remember me ? i ' m the one who loved you so much that i gave my very best at
raising you . and now i ' m missing you so much . lacy & i can ' t understand why
you don ' t call to check on us & just to talk a while - - it doesn ' t count that
tonya calls - - i didn ' t raise her . we want to hear your voice every once in a
while . i know you work a lot , but you used to find time once a week . and
that ' s no excuse . you can schedule in a call to us . we ' re still your family
too . we love you , ma
get your private , free email at http : / / www . hotmail . com",0,1
8546,"this is a story that zings all the way through with originality , humour and pathos .",1,0
8673,"300 years of russian history and culture compressed into an evanescent , seamless and sumptuous stream of consciousness .",1,0
8822,"Subject: re : noms / actual flow for 03 / 06 / 01
we agree
"" eileen ponton "" on 03 / 07 / 2001 10 : 55 : 26 am
to : david avila / lsp / enserch / us @ tu , charlie stone / texas utilities @ tu , melissa
jones / texas utilities @ tu , hpl . scheduling @ enron . com ,
liz . bellamy @ enron . com
cc :
subject : noms / actual flow for 03 / 06 / 01
date nom flow - mcf flow - mmbtu
3 / 06 35 , 000 34 , 730 35 , 668
btu = 1 . 027",1,1
8143,easily the most thoughtful fictional examination of the root causes of anti-semitism ever seen on screen .,1,0
6728,a really funny fifteen-minute short stretched beyond its limits to fill an almost feature-length film .,0,0
6648,"like the excruciating end of days , collateral damage presents schwarzenegger as a tragic figure , but sympathy really belongs with any viewer forced to watch him try out so many complicated facial expressions .",0,0
6964,"the film's 45-minute running time stops shy of overkill , though viewers may be more exhausted than the athletes onscreen .",1,0
11172,"Subject: flagstaff on 11 / 10
daren ,
a small volume ( 352 dth ) flowed on the 10 th at flagstaff meter , i think it
may have been a test volume . do you want to put in a deal or hit strangers
for now ?
please advise .
mary",0,1
245,this is a heartfelt story . . . it just isn't a very involving one .,0,0
1160,never capitalizes on this concept and opts for the breezy and amateurish feel of an after school special on the subject of tolerance .,0,0
11352,beautifully produced .,1,0
2377,"for anyone who grew up on disney's 1950 treasure island , or remembers the 1934 victor fleming classic , this one feels like an impostor .",0,0
2422,"altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece .",1,0
461,"occasionally loud and offensive , but more often , it simply lulls you into a gentle waking coma .",0,0
7756,"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .",1,0
